"AUC","Sensitivity","Specificity","Accuracy","data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET"
0.625767049036523,0.297339593114241,0.85760448082723,0.789812535504639,"11","glm","smote","FFS","DROP","MODE","HARD","1","year1"
0.603099339924955,0.12551724137931,0.934471803018268,0.832667939593821,"12","glm","smote","FFS","DROP","DROP","HARD","1","year1"
0.607193656113985,0.201587301587302,0.899058914528813,0.801596983475657,"15","glm","smote","FFS","MEDIAN","MODE","HARD","1","year1"
0.624377007514719,0.208747514910537,0.903873075128325,0.809818426361802,"16","glm","smote","FFS","MEDIAN","DROP","HARD","1","year1"
0.658204095558077,0.377151799687011,0.827875915553641,0.77333838288203,"3","glm","smote","LASSO","DROP","MODE","LABEL","1","year1"
0.635556681548027,0.313103448275862,0.825456711675933,0.760978996701961,"4","glm","smote","LASSO","DROP","DROP","LABEL","1","year1"
0.646253153833404,0.405555555555556,0.79141420652314,0.737495841188865,"7","glm","smote","LASSO","MEDIAN","MODE","LABEL","1","year1"
0.653201957952085,0.372763419483101,0.823767304401929,0.762743779421654,"8","glm","smote","LASSO","MEDIAN","DROP","LABEL","1","year1"
0.656596672283209,0.383411580594679,0.8276604911676,0.773906457110396,"11","glm","smote","LASSO","DROP","MODE","HARD","1","year1"
0.628376653611241,0.340689655172414,0.801231135822081,0.743273737198403,"12","glm","smote","LASSO","DROP","DROP","HARD","1","year1"
0.64108588044388,0.416666666666667,0.775428645094753,0.725296661860929,"15","glm","smote","LASSO","MEDIAN","MODE","HARD","1","year1"
0.648119372116965,0.389662027833002,0.799191165033442,0.743779421654338,"16","glm","smote","LASSO","MEDIAN","DROP","HARD","1","year1"
0.584378567121105,0,0.998963515754561,0.885845588235294,"3","glm","none","FFS","DROP","MODE","LABEL","2","year1"
0.57945591946456,0,1,0.881516587677725,"4","glm","none","FFS","DROP","DROP","LABEL","2","year1"
0.567682749702583,0,0.999743786830643,0.865476322501941,"7","glm","none","FFS","MEDIAN","MODE","LABEL","2","year1"
0.589770441815534,0.00416233090530697,0.998174627319744,0.871400132714001,"8","glm","none","FFS","MEDIAN","DROP","LABEL","2","year1"
0.580977014279253,0.00162337662337662,0.998756218905473,0.885845588235294,"11","glm","none","FFS","DROP","MODE","HARD","2","year1"
0.563097158218126,0,0.999615975422427,0.881178063642519,"12","glm","none","FFS","DROP","DROP","HARD","2","year1"
0.578337917031363,0,0.999743786830643,0.865476322501941,"15","glm","none","FFS","MEDIAN","MODE","HARD","2","year1"
0.589770441815534,0.00416233090530697,0.998174627319744,0.871400132714001,"16","glm","none","FFS","MEDIAN","DROP","HARD","2","year1"
0.615563955116194,0.00324675324675325,0.999378109452736,0.886580882352941,"3","glm","none","LASSO","DROP","MODE","LABEL","2","year1"
0.600004937458854,0,0.999807987711213,0.881347325660122,"4","glm","none","LASSO","DROP","DROP","LABEL","2","year1"
0.633285116172891,0.00330305532617671,0.99833461439918,0.864700011090163,"7","glm","none","LASSO","MEDIAN","MODE","LABEL","2","year1"
0.626764313235978,0.00416233090530697,0.998478856099787,0.871665560716656,"8","glm","none","LASSO","MEDIAN","DROP","LABEL","2","year1"
0.623020247787039,0.00324675324675325,0.998963515754561,0.886213235294118,"11","glm","none","LASSO","DROP","MODE","HARD","2","year1"
0.613071648014045,0,0.999807987711213,0.881347325660122,"12","glm","none","LASSO","DROP","DROP","HARD","2","year1"
0.643105633664253,0.00165152766308836,0.997950294645145,0.864145502938893,"15","glm","none","LASSO","MEDIAN","MODE","HARD","2","year1"
0.638293982506687,0.00416233090530697,0.998326741709766,0.871532846715328,"16","glm","none","LASSO","MEDIAN","DROP","HARD","2","year1"
