"AUC","Sensitivity","Specificity","Accuracy","data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET"
0.605714697169191,0.127142857142857,0.905529953917051,0.813303994583615,"12","ranger","smote","LASSO","DROP","DROP","HARD","2","year1"
0.639198964653373,0.124690338563171,0.960671278503715,0.84839747144283,"15","ranger","smote","LASSO","MEDIAN","MODE","HARD","2","year1"
0.627523539741427,0.147762747138398,0.939154243991482,0.838221632382216,"16","ranger","smote","LASSO","MEDIAN","DROP","HARD","2","year1"
0.558304660345477,0.0784929356357928,0.953667953667954,0.84846197395735,"3","ranger","none","FFS","DROP","MODE","LABEL","3","year1"
0.535631446392286,0.0411522633744856,0.97168698387731,0.855030094582975,"4","ranger","none","FFS","DROP","DROP","LABEL","3","year1"
0.54071878673025,0.0265700483091787,0.981736334405145,0.850171897526894,"7","ranger","none","FFS","MEDIAN","MODE","LABEL","3","year1"
0.56947065961301,0.053481331987891,0.979935175181355,0.857028112449799,"8","ranger","none","FFS","MEDIAN","DROP","LABEL","3","year1"
0.573696313492232,0.0690737833594976,0.959244959244959,0.852236270994527,"11","ranger","none","FFS","DROP","MODE","HARD","3","year1"
0.534126063261963,0.0246913580246914,0.980534801415651,0.860705073086844,"12","ranger","none","FFS","DROP","DROP","HARD","3","year1"
0.548809150265882,0.0265700483091787,0.980578778135048,0.849173782854608,"15","ranger","none","FFS","MEDIAN","MODE","HARD","3","year1"
0.574499948525773,0.0494450050454087,0.981169933631733,0.85756358768407,"16","ranger","none","FFS","MEDIAN","DROP","HARD","3","year1"
0.620132579316253,0.0172684458398744,0.998069498069498,0.880166069069636,"3","ranger","none","LASSO","DROP","MODE","LABEL","3","year1"
0.608895987640836,0.00274348422496571,0.999213527329925,0.874290627687016,"4","ranger","none","LASSO","DROP","DROP","LABEL","3","year1"
0.632042188980537,0.0217391304347826,0.997942122186495,0.863480093157369,"7","ranger","none","LASSO","MEDIAN","MODE","LABEL","3","year1"
0.628791941176407,0.0262361251261352,0.997530483099244,0.868674698795181,"8","ranger","none","LASSO","MEDIAN","DROP","LABEL","3","year1"
0.624432685657175,0.0204081632653061,0.997425997425997,0.879977354217777,"11","ranger","none","LASSO","DROP","MODE","HARD","3","year1"
0.611550063192917,0.00137174211248285,0.999606763664963,0.874462596732588,"12","ranger","none","LASSO","DROP","DROP","HARD","3","year1"
0.631062491262408,0.0225442834138486,0.997684887459807,0.863369191527115,"15","ranger","none","LASSO","MEDIAN","MODE","HARD","3","year1"
0.630307043371825,0.0252270433905146,0.997684827905541,0.868674698795181,"16","ranger","none","LASSO","MEDIAN","DROP","HARD","3","year1"
0.560146432595412,0.271585557299843,0.788288288288288,0.726174749952821,"3","ranger","smote","FFS","DROP","MODE","LABEL","3","year1"
0.544370166470048,0.253772290809328,0.78273692489186,0.716423043852107,"4","ranger","smote","FFS","DROP","DROP","LABEL","3","year1"
0.549807229289964,0.274557165861514,0.7891961414791,0.71830985915493,"7","ranger","smote","FFS","MEDIAN","MODE","LABEL","3","year1"
0.57423689264501,0.231079717457114,0.858620157431702,0.775368139223561,"8","ranger","smote","FFS","MEDIAN","DROP","LABEL","3","year1"
0.565768729034035,0.259026687598116,0.805448305448305,0.739762219286658,"11","ranger","smote","FFS","DROP","MODE","HARD","3","year1"
0.537696611424783,0.285322359396433,0.770153362170665,0.709372312983663,"12","ranger","smote","FFS","DROP","DROP","HARD","3","year1"
0.561331117220954,0.2914653784219,0.785980707395498,0.717866252633914,"15","ranger","smote","FFS","MEDIAN","MODE","HARD","3","year1"
0.580616348183193,0.233097880928355,0.856922364562432,0.774163319946452,"16","ranger","smote","FFS","MEDIAN","DROP","HARD","3","year1"
0.62665362155158,0.117739403453689,0.958601458601459,0.857520286846575,"3","ranger","smote","LASSO","DROP","MODE","LABEL","3","year1"
