"fold","algorithm","resampling","encoding","ID","auc","sen","spec","accu","data_scenario","imputation_cat","imputation_num","TARGET","feature_selection","gmean"
1,"svmRadial","down","HARD","11.2.1.5",0.641803186392999,0.613458528951487,0.58207669108143,0.585873887521303,"11","MODE","DROP","year1","RF",0.597561637530191
1,"svmRadial","down","HARD","12.2.1.5",0.582328887184684,0.564137931034483,0.552223987291501,0.553723311925013,"12","DROP","DROP","year1","RF",0.558149171510843
1,"svmRadial","down","HARD","13.2.1.5",0.639149994577351,0.604761904761905,0.589532035580766,0.591660197404902,"13","UNKNOWN","MEDIAN","year1","RF",0.597098414631949
1,"svmRadial","down","HARD","14.2.1.5",0.635016196328561,0.612698412698413,0.578316359417301,0.583120771875347,"14","MISSING","MEDIAN","year1","RF",0.595259200224998
1,"svmRadial","down","HARD","15.2.1.5",0.63763011800913,0.622222222222222,0.58566456104164,0.59077298436287,"15","MODE","MEDIAN","year1","RF",0.603666716531673
1,"svmRadial","up","LABEL","1.4.5",0.617001568990756,0.539906103286385,0.623222748815166,0.613141450482863,"1","UNKNOWN","DROP","year1","FFS",0.58007048346923
1,"svmRadial","up","LABEL","4.4.5",0.619661745775246,0.579310344827586,0.605242255758539,0.601978823120986,"4","DROP","DROP","year1","FFS",0.592134359658097
1,"svmRadial","up","HARD","10.4.5",0.620530786808072,0.544600938967136,0.609220163722533,0.601401249763302,"10","MISSING","DROP","year1","FFS",0.576005098242198
1,"svmRadial","up","HARD","11.4.5",0.620530786808072,0.544600938967136,0.609220163722533,0.601401249763302,"11","MODE","DROP","year1","FFS",0.576005098242198
1,"svmRadial","up","HARD","12.4.5",0.59824737750267,0.493793103448276,0.649920571882446,0.630272522131574,"12","DROP","DROP","year1","FFS",0.566503571202081
1,"svmRadial","up","LABEL","1.1.2.5",0.654843272859426,0.577464788732394,0.65101249461439,0.642113236129521,"1","UNKNOWN","DROP","year1","LASSO",0.613136846604939
1,"svmRadial","up","LABEL","2.1.2.5",0.656857271736119,0.586854460093897,0.643472641102973,0.636621851921985,"2","MISSING","DROP","year1","LASSO",0.614511830138102
1,"svmRadial","up","LABEL","3.1.2.5",0.667965281275474,0.602503912363067,0.645626884963378,0.640409013444423,"3","MODE","DROP","year1","LASSO",0.62369281230203
1,"svmRadial","up","LABEL","4.1.2.5",0.597498288187122,0.44,0.690627482128674,0.659086964068738,"4","DROP","DROP","year1","LASSO",0.55124957336638
1,"svmRadial","up","LABEL","8.1.2.5",0.658675726014113,0.538767395626243,0.676154923005133,0.657565568258238,"8","DROP","MEDIAN","year1","LASSO",0.603564600442519
